#=====================================================
# File created:        Mon-24-Feb-2025-at-08-52-08PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.222019
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2604.7848  0.2623 
   00001    0.6956   -3940.6012  0.2744 
   00002    0.6200   -4638.8402  0.2557 
   00003    0.5796   -5210.5351  0.2566 
   00004    0.5612   -5639.7758  0.2562 
   00005    0.5352   -6041.4013  0.2602 
   00006    0.5080   -6319.1949  0.2616 
   00007    0.5036   -6550.9898  0.2556 
   00008    0.4944   -6719.6191  0.2613 
   00009    0.4908   -6868.6768  0.2560 
   00010    0.4728   -7003.1026  0.2587 
   00011    0.4896   -7159.4673  0.2582 
   00012    0.4608   -7242.0609  0.2566 
   00013    0.4584   -7333.1140  0.2592 
   00014    0.4460   -7487.0973  0.2641 
   00015    0.4580   -7532.9834  0.2648 
   00016    0.4296   -7584.3520  0.2726 
   00017    0.4368   -7602.9050  0.2778 
   00018    0.4516   -7650.1152  0.2829 
   00019    0.4392   -7694.2107  0.2813 
   00020    0.4548   -7756.8525  0.2764 
   00021    0.4372   -7789.3299  0.2804 
   00022    0.4244   -7835.7958  0.2790 
   00023    0.4356   -7855.8659  0.2744 
   00024    0.4408   -7902.3856  0.2746 
   00025    0.4420   -7868.1950  0.2740 
   00026    0.4376   -7866.5970  0.2785 
   00027    0.4372   -7884.4888  0.2755 
   00028    0.4376   -7939.1765  0.2743 
   00029    0.4224   -7984.8796  0.2722 
   00030    0.4464   -7990.6604  0.2804 
   00031    0.4240   -8022.3737  0.2818 
   00032    0.4284   -8023.2432  0.2764 
   00033    0.4220   -8040.7892  0.2791 
   00034    0.4328   -7992.5369  0.2836 
   00035    0.4312   -8030.2757  0.2805 
   00036    0.4184   -8037.2512  0.2791 
   00037    0.4256   -8039.0256  0.2760 
   00038    0.4160   -8080.5355  0.2762 
   00039    0.4432   -8077.8993  0.2876 
   00040    0.4300   -8039.6012  0.2842 
   00041    0.4288   -8099.3664  0.2942 
   00042    0.4124   -8109.2247  0.2953 
   00043    0.4224   -8075.6500  0.2970 
   00044    0.4288   -8088.5345  0.3013 
   00045    0.4292   -8113.3655  0.2983 
   00046    0.4124   -8112.8654  0.2978 
   00047    0.4128   -8173.7403  0.2947 
   00048    0.4344   -8173.5686  0.2922 
   00049    0.4188   -8169.1511  0.2962 
   00050    0.4256   -8130.4823  0.2990 
