#=====================================================
# File created:        Mon-24-Feb-2025-at-11-35-11AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        15.275909
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2444.7378  0.2551 
   00001    0.7020   -3882.3522  0.2540 
   00002    0.6344   -4656.5281  0.2649 
   00003    0.5816   -5203.9044  0.2757 
   00004    0.5628   -5678.7826  0.2734 
   00005    0.5480   -6076.4670  0.2642 
   00006    0.5148   -6327.7808  0.2590 
   00007    0.5148   -6570.1181  0.2633 
   00008    0.4896   -6738.5100  0.2582 
   00009    0.4984   -6928.5785  0.2657 
   00010    0.4924   -7119.4887  0.2777 
   00011    0.4700   -7242.9868  0.2845 
   00012    0.4588   -7305.6399  0.2878 
   00013    0.4660   -7399.6098  0.2882 
   00014    0.4608   -7487.1559  0.2841 
   00015    0.4472   -7483.4287  0.2866 
   00016    0.4584   -7490.0973  0.2843 
   00017    0.4460   -7582.4977  0.2885 
   00018    0.4372   -7680.7362  0.2938 
   00019    0.4380   -7705.2733  0.2947 
   00020    0.4484   -7796.9772  0.3040 
   00021    0.4336   -7793.8213  0.3045 
   00022    0.4408   -7827.5217  0.3018 
   00023    0.4344   -7858.0898  0.3033 
   00024    0.4408   -7892.6185  0.3084 
   00025    0.4372   -7906.7514  0.3125 
   00026    0.4240   -7980.7702  0.3082 
   00027    0.4364   -8024.8532  0.3129 
   00028    0.4220   -8010.4359  0.3177 
   00029    0.4332   -8031.5333  0.3144 
   00030    0.4308   -8013.7334  0.3108 
   00031    0.4404   -8032.5268  0.3016 
   00032    0.4248   -8038.7910  0.2989 
   00033    0.4404   -8088.2164  0.2996 
   00034    0.4116   -8082.1782  0.3059 
   00035    0.4288   -8077.9259  0.3111 
   00036    0.4224   -8120.1321  0.3088 
   00037    0.4236   -8136.0134  0.3131 
   00038    0.4276   -8094.0189  0.3183 
   00039    0.4296   -8104.7336  0.3194 
   00040    0.4284   -8119.3888  0.3177 
   00041    0.4212   -8115.8789  0.3188 
   00042    0.4200   -8108.6348  0.3151 
   00043    0.4128   -8128.5447  0.3123 
   00044    0.4120   -8150.3312  0.3123 
   00045    0.4236   -8206.0995  0.3125 
   00046    0.4380   -8186.0655  0.3086 
   00047    0.4248   -8165.6152  0.3136 
   00048    0.4128   -8156.5089  0.3108 
   00049    0.4192   -8139.6183  0.3143 
   00050    0.4376   -8129.0047  0.3207 
   00051    0.4184   -8141.4310  0.3136 
   00052    0.4300   -8178.0239  0.3085 
   00053    0.4196   -8215.7534  0.3077 
   00054    0.4276   -8193.5245  0.3077 
   00055    0.4112   -8210.4622  0.3114 
   00056    0.4292   -8157.9708  0.3111 
   00057    0.4148   -8194.1536  0.3126 
   00058    0.4184   -8202.0419  0.3037 
   00059    0.4292   -8186.2423  0.3003 
   00060    0.4368   -8208.5890  0.3013 
   00061    0.4420   -8232.3498  0.2950 
   00062    0.4132   -8251.0983  0.2963 
   00063    0.4212   -8240.8641  0.2999 
   00064    0.4344   -8256.4825  0.2984 
   00065    0.4152   -8280.3795  0.2955 
   00066    0.4220   -8247.7976  0.2934 
   00067    0.4192   -8306.8664  0.3011 
   00068    0.4232   -8241.4606  0.2944 
   00069    0.4100   -8228.0572  0.2949 
   00070    0.4200   -8241.3352  0.3009 
   00071    0.4160   -8204.5334  0.3014 
   00072    0.4312   -8191.8221  0.3008 
   00073    0.4264   -8182.2146  0.2925 
   00074    0.4156   -8222.1554  0.3009 
   00075    0.4348   -8273.1788  0.3005 
   00076    0.4012   -8222.8701  0.2927 
   00077    0.4444   -8255.8343  0.2919 
   00078    0.4080   -8253.2234  0.2864 
   00079    0.4160   -8247.3675  0.2775 
   00080    0.4240   -8298.5896  0.2705 
   00081    0.4140   -8330.5716  0.2753 
   00082    0.4084   -8317.9556  0.2732 
   00083    0.4228   -8238.9917  0.2726 
   00084    0.4340   -8225.8077  0.2767 
   00085    0.4348   -8247.1810  0.2725 
   00086    0.4248   -8204.6364  0.2791 
   00087    0.4252   -8193.9997  0.2777 
   00088    0.4200   -8264.4610  0.2816 
   00089    0.4192   -8239.3808  0.2843 
   00090    0.4180   -8240.7006  0.2892 
   00091    0.4128   -8258.1131  0.2921 
   00092    0.4112   -8288.7985  0.3013 
   00093    0.4068   -8290.6224  0.3097 
   00094    0.4144   -8271.5946  0.3119 
   00095    0.4372   -8290.4859  0.3125 
   00096    0.4344   -8271.0295  0.3074 
   00097    0.4144   -8257.8010  0.3116 
   00098    0.4364   -8277.5580  0.3103 
   00099    0.4056   -8301.9777  0.3186 
   00100    0.4064   -8362.8807  0.3221 
   00101    0.4128   -8359.3707  0.3216 
   00102    0.4216   -8368.3333  0.3239 
   00103    0.4172   -8371.8311  0.3257 
   00104    0.4064   -8372.4395  0.3269 
