#=====================================================
# File created:        Sun-23-Feb-2025-at-08-26-07PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.118557
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2436.9403  0.2639 
   00001    0.6924   -3698.9234  0.2790 
   00002    0.6172   -4521.2100  0.2823 
   00003    0.5960   -5100.4224  0.2946 
   00004    0.5608   -5465.7161  0.3033 
   00005    0.5224   -5841.3214  0.3077 
   00006    0.5328   -6099.0772  0.3131 
   00007    0.4984   -6295.0553  0.3088 
   00008    0.4932   -6430.6938  0.3057 
   00009    0.4880   -6602.8431  0.3090 
   00010    0.4844   -6723.6321  0.3078 
   00011    0.4836   -6851.8667  0.3117 
   00012    0.4612   -6957.7030  0.3182 
   00013    0.4728   -7056.1183  0.3234 
   00014    0.4592   -7170.1374  0.3250 
   00015    0.4708   -7256.7120  0.3319 
   00016    0.4676   -7319.2212  0.3402 
   00017    0.4576   -7403.1977  0.3386 
   00018    0.4776   -7440.6908  0.3364 
   00019    0.4472   -7507.9370  0.3399 
   00020    0.4356   -7564.1332  0.3372 
   00021    0.4308   -7610.3936  0.3416 
   00022    0.4484   -7655.9758  0.3441 
   00023    0.4340   -7693.5441  0.3427 
   00024    0.4396   -7741.9132  0.3517 
   00025    0.4460   -7706.1489  0.3530 
   00026    0.4356   -7749.2483  0.3573 
   00027    0.4532   -7794.7913  0.3552 
   00028    0.4424   -7854.6658  0.3533 
   00029    0.4504   -7819.1083  0.3520 
   00030    0.4408   -7847.3190  0.3584 
   00031    0.4248   -7886.2256  0.3609 
   00032    0.4404   -7886.7558  0.3547 
   00033    0.4348   -7902.0961  0.3563 
   00034    0.4160   -7955.8428  0.3569 
   00035    0.4316   -7993.5964  0.3591 
   00036    0.4172   -8038.3513  0.3613 
   00037    0.4360   -8060.1382  0.3664 
   00038    0.4360   -8089.0685  0.3717 
   00039    0.4268   -8117.1971  0.3741 
   00040    0.4088   -8120.9992  0.3833 
   00041    0.4328   -8117.3943  0.3860 
   00042    0.4236   -8100.8961  0.3807 
   00043    0.4112   -8105.2901  0.3883 
   00044    0.4072   -8066.2902  0.3876 
   00045    0.4392   -8076.2027  0.3909 
   00046    0.4060   -8126.1463  0.3844 
   00047    0.4084   -8139.5360  0.3875 
   00048    0.4148   -8162.8178  0.3902 
   00049    0.4312   -8177.7303  0.3935 
   00050    0.4092   -8190.0872  0.3972 
