#=====================================================
# File created:        Tue-25-Feb-2025-at-01-29-31AM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        6.045649
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2310.1703  0.2615 
   00001    0.7192   -3764.0693  0.2611 
   00002    0.6248   -4655.1003  0.2735 
   00003    0.5812   -5252.2460  0.2734 
   00004    0.5644   -5752.8622  0.2738 
   00005    0.5296   -6132.3003  0.2891 
   00006    0.5152   -6386.6956  0.2913 
   00007    0.4944   -6620.3760  0.2889 
   00008    0.4888   -6810.2489  0.2880 
   00009    0.4824   -6938.2114  0.2906 
   00010    0.4744   -7100.7767  0.2990 
   00011    0.4880   -7225.1142  0.3053 
   00012    0.4700   -7301.4299  0.3180 
   00013    0.4528   -7361.6980  0.3242 
   00014    0.4592   -7463.5264  0.3285 
   00015    0.4556   -7522.9044  0.3338 
   00016    0.4496   -7554.9868  0.3376 
   00017    0.4408   -7596.1324  0.3421 
   00018    0.4484   -7668.7877  0.3494 
   00019    0.4452   -7702.9093  0.3456 
   00020    0.4408   -7741.0349  0.3421 
   00021    0.4476   -7767.7654  0.3416 
   00022    0.4328   -7805.0122  0.3415 
   00023    0.4308   -7827.7473  0.3465 
   00024    0.4504   -7824.6322  0.3460 
   00025    0.4328   -7835.0238  0.3406 
   00026    0.4432   -7863.3351  0.3471 
   00027    0.4368   -7894.3762  0.3471 
   00028    0.4312   -7904.6527  0.3477 
   00029    0.4312   -7919.5336  0.3420 
   00030    0.4316   -7946.7516  0.3458 
   00031    0.4304   -8023.2025  0.3443 
   00032    0.4396   -7964.5318  0.3409 
   00033    0.4380   -7972.8203  0.3377 
   00034    0.4300   -8019.7995  0.3413 
   00035    0.4288   -8030.8842  0.3426 
   00036    0.4232   -8062.7220  0.3503 
   00037    0.4280   -8095.7585  0.3520 
   00038    0.4316   -8104.3155  0.3519 
   00039    0.4372   -8150.2483  0.3453 
   00040    0.4124   -8153.2155  0.3467 
   00041    0.4176   -8165.8396  0.3566 
   00042    0.4264   -8186.9643  0.3547 
   00043    0.4196   -8211.9069  0.3619 
   00044    0.4200   -8182.6188  0.3674 
   00045    0.4348   -8219.6805  0.3621 
   00046    0.4212   -8248.1889  0.3587 
   00047    0.4240   -8173.6293  0.3651 
   00048    0.4208   -8146.8131  0.3685 
   00049    0.4336   -8170.7243  0.3844 
   00050    0.4316   -8170.8610  0.3886 
   00051    0.4376   -8185.1533  0.3849 
   00052    0.4180   -8194.4212  0.3913 
   00053    0.4280   -8223.9617  0.3947 
   00054    0.4160   -8246.1582  0.4004 
   00055    0.4268   -8238.1854  0.3940 
   00056    0.4160   -8259.8641  0.3980 
   00057    0.4376   -8255.5004  0.4016 
   00058    0.4196   -8267.0427  0.4072 
   00059    0.4236   -8298.7778  0.4116 
   00060    0.4280   -8300.6982  0.4172 
   00061    0.4164   -8327.0303  0.4208 
   00062    0.4076   -8312.9505  0.4276 
   00063    0.4200   -8294.8447  0.4239 
   00064    0.4160   -8322.6267  0.4202 
   00065    0.4148   -8325.2674  0.4155 
   00066    0.4192   -8364.5869  0.4230 
   00067    0.4316   -8383.4025  0.4252 
   00068    0.4288   -8362.5543  0.4226 
   00069    0.4260   -8367.0605  0.4248 
   00070    0.4220   -8375.3904  0.4238 
   00071    0.4000   -8419.3395  0.4312 
   00072    0.4076   -8413.2770  0.4271 
   00073    0.4128   -8438.0489  0.4287 
   00074    0.4152   -8420.2746  0.4276 
   00075    0.4240   -8419.5622  0.4316 
   00076    0.4216   -8458.0910  0.4253 
   00077    0.4104   -8433.2437  0.4284 
   00078    0.4176   -8403.9425  0.4228 
   00079    0.4144   -8353.2739  0.4159 
   00080    0.4392   -8320.7845  0.4116 
   00081    0.4328   -8367.9905  0.4131 
   00082    0.4372   -8378.8810  0.4119 
   00083    0.4036   -8405.6264  0.4115 
   00084    0.4048   -8404.2619  0.4096 
   00085    0.4208   -8426.5760  0.4191 
   00086    0.4276   -8397.1070  0.4307 
   00087    0.4048   -8376.2037  0.4307 
   00088    0.4368   -8389.1622  0.4344 
   00089    0.4092   -8412.0386  0.4320 
