#=====================================================
# File created:        Tue-25-Feb-2025-at-06-36-23PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.219966
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2550.8243  0.2587 
   00001    0.7004   -3863.4069  0.2623 
   00002    0.6324   -4802.4208  0.2727 
   00003    0.5920   -5344.1716  0.2677 
   00004    0.5492   -5781.2418  0.2677 
   00005    0.5304   -6147.9790  0.2724 
   00006    0.5048   -6440.1044  0.2819 
   00007    0.5028   -6628.7360  0.2906 
   00008    0.5016   -6840.8142  0.2913 
   00009    0.4788   -7037.9738  0.2995 
   00010    0.4640   -7224.8190  0.3008 
   00011    0.4540   -7231.2423  0.3052 
   00012    0.4648   -7400.8293  0.3100 
   00013    0.4484   -7463.6857  0.3180 
   00014    0.4520   -7575.5483  0.3078 
   00015    0.4392   -7643.4774  0.3114 
   00016    0.4348   -7664.0021  0.3136 
   00017    0.4420   -7653.6753  0.3139 
   00018    0.4264   -7730.3037  0.3136 
   00019    0.4388   -7776.3411  0.3281 
   00020    0.4428   -7798.1993  0.3278 
   00021    0.4340   -7828.1056  0.3288 
   00022    0.4476   -7896.7823  0.3340 
   00023    0.4388   -7920.3632  0.3343 
   00024    0.4412   -7886.1066  0.3368 
   00025    0.4336   -7882.5667  0.3395 
   00026    0.4400   -7898.9303  0.3410 
   00027    0.4356   -7978.3343  0.3391 
   00028    0.4404   -7967.1422  0.3354 
   00029    0.4204   -8002.1670  0.3387 
   00030    0.4420   -7970.5617  0.3411 
   00031    0.4184   -8001.1788  0.3473 
   00032    0.4268   -8041.5930  0.3533 
   00033    0.4324   -8027.1143  0.3506 
   00034    0.4384   -8030.7249  0.3456 
   00035    0.4292   -8062.6407  0.3439 
   00036    0.4204   -8100.5543  0.3462 
   00037    0.4100   -8096.5669  0.3468 
   00038    0.4160   -8157.4660  0.3519 
   00039    0.4152   -8112.0262  0.3519 
   00040    0.4412   -8143.2677  0.3529 
   00041    0.4112   -8163.5725  0.3506 
   00042    0.4304   -8187.8138  0.3655 
   00043    0.4252   -8155.7801  0.3631 
   00044    0.4136   -8135.6682  0.3663 
   00045    0.4128   -8156.0448  0.3717 
   00046    0.4192   -8108.1934  0.3694 
   00047    0.4320   -8129.3703  0.3656 
   00048    0.4292   -8170.0383  0.3724 
   00049    0.4116   -8186.2251  0.3688 
   00050    0.4216   -8213.0732  0.3725 
