#=====================================================
# File created:        Wed-26-Feb-2025-at-04-33-26AM
# Size of lattice:     60x60
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        1.929340
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3616.9889  0.2599 
   00001    0.6961   -5529.0600  0.2575 
   00002    0.6194   -6747.4018  0.2616 
   00003    0.5883   -7616.5901  0.2683 
   00004    0.5558   -8341.8220  0.2692 
   00005    0.5292   -8838.3599  0.2659 
   00006    0.5083   -9164.2897  0.2774 
   00007    0.4975   -9591.5308  0.2814 
   00008    0.4761   -9876.6637  0.2825 
   00009    0.4853  -10087.6449  0.2781 
   00010    0.4725  -10174.4826  0.2808 
   00011    0.4831  -10332.2467  0.2818 
   00012    0.4503  -10470.0051  0.2832 
   00013    0.4528  -10600.5432  0.2936 
   00014    0.4669  -10679.9330  0.2981 
   00015    0.4600  -10782.0585  0.3025 
   00016    0.4506  -10892.3231  0.3017 
   00017    0.4486  -10985.9828  0.3068 
   00018    0.4406  -11026.5374  0.3098 
   00019    0.4439  -11035.7910  0.3154 
   00020    0.4436  -11119.6010  0.3224 
   00021    0.4394  -11133.2351  0.3230 
   00022    0.4578  -11191.1007  0.3249 
   00023    0.4383  -11228.4718  0.3243 
   00024    0.4347  -11314.6763  0.3274 
   00025    0.4333  -11364.3561  0.3324 
   00026    0.4275  -11430.7249  0.3342 
   00027    0.4267  -11483.4844  0.3368 
   00028    0.4314  -11519.5399  0.3412 
   00029    0.4222  -11529.1429  0.3377 
   00030    0.4328  -11629.1710  0.3382 
   00031    0.4236  -11598.9245  0.3416 
   00032    0.4347  -11622.3521  0.3450 
   00033    0.4375  -11566.7300  0.3450 
   00034    0.4219  -11538.5192  0.3472 
   00035    0.4433  -11579.4899  0.3445 
   00036    0.4333  -11612.8125  0.3445 
   00037    0.4269  -11635.5490  0.3433 
   00038    0.4114  -11688.6759  0.3394 
   00039    0.4222  -11737.3326  0.3384 
   00040    0.4275  -11739.8755  0.3430 
   00041    0.4261  -11758.9782  0.3423 
   00042    0.4314  -11793.0872  0.3393 
   00043    0.4175  -11762.4007  0.3346 
   00044    0.4169  -11759.1077  0.3407 
   00045    0.4122  -11738.8929  0.3438 
   00046    0.4297  -11800.6682  0.3448 
   00047    0.4136  -11793.1132  0.3429 
   00048    0.4256  -11779.7566  0.3412 
   00049    0.4103  -11804.0720  0.3423 
   00050    0.4167  -11789.4767  0.3411 
   00051    0.4306  -11806.7246  0.3454 
   00052    0.4269  -11783.5977  0.3438 
   00053    0.4064  -11784.1152  0.3497 
   00054    0.4247  -11777.7122  0.3457 
   00055    0.4314  -11764.7088  0.3429 
   00056    0.4186  -11814.2764  0.3469 
   00057    0.4378  -11778.2719  0.3450 
   00058    0.4097  -11816.8033  0.3430 
   00059    0.4375  -11814.2563  0.3398 
   00060    0.4103  -11809.2446  0.3420 
   00061    0.4125  -11839.4833  0.3410 
   00062    0.4236  -11836.6376  0.3439 
   00063    0.4217  -11841.0995  0.3464 
   00064    0.4178  -11820.6413  0.3404 
   00065    0.4203  -11867.2163  0.3340 
   00066    0.4156  -11821.8476  0.3340 
   00067    0.4203  -11859.6386  0.3323 
   00068    0.4153  -11847.3049  0.3354 
   00069    0.4258  -11822.4907  0.3359 
   00070    0.4283  -11829.0315  0.3361 
   00071    0.4239  -11822.1375  0.3361 
   00072    0.4278  -11882.9542  0.3398 
   00073    0.4100  -11891.2644  0.3426 
   00074    0.4147  -11932.0302  0.3427 
   00075    0.4156  -11943.0494  0.3411 
   00076    0.4242  -11992.9114  0.3445 
   00077    0.4203  -11940.4694  0.3466 
   00078    0.4264  -11984.8657  0.3509 
   00079    0.4228  -11963.8225  0.3454 
   00080    0.4222  -11929.7926  0.3423 
   00081    0.4203  -11899.6712  0.3473 
   00082    0.4236  -11948.7816  0.3442 
   00083    0.4172  -11917.7619  0.3462 
   00084    0.4122  -11951.2195  0.3444 
   00085    0.4239  -12020.1000  0.3444 
   00086    0.4183  -11914.6227  0.3412 
   00087    0.4281  -11914.9942  0.3384 
   00088    0.4381  -11967.6007  0.3373 
   00089    0.4272  -12007.4489  0.3377 
   00090    0.4211  -11980.6829  0.3432 
   00091    0.4314  -11917.2397  0.3336 
   00092    0.4069  -11919.2636  0.3388 
   00093    0.4197  -11983.0156  0.3388 
   00094    0.4178  -11946.0562  0.3389 
   00095    0.4217  -11946.8402  0.3386 
   00096    0.4106  -11893.8152  0.3376 
   00097    0.4200  -11993.9794  0.3376 
   00098    0.4167  -11921.5460  0.3334 
   00099    0.4147  -11914.6533  0.3281 
   00100    0.4178  -11958.8436  0.3394 
   00101    0.4286  -11897.8075  0.3403 
   00102    0.4175  -11919.9612  0.3428 
   00103    0.4078  -11891.4012  0.3412 
   00104    0.4258  -11921.3843  0.3429 
   00105    0.4139  -11997.6137  0.3415 
   00106    0.4103  -12010.1743  0.3411 
   00107    0.4119  -12046.3443  0.3438 
   00108    0.4031  -11999.4349  0.3514 
   00109    0.4197  -12030.9565  0.3530 
   00110    0.4183  -12048.7321  0.3489 
   00111    0.4275  -12012.3250  0.3495 
   00112    0.4111  -12007.8908  0.3522 
   00113    0.4206  -12029.4999  0.3504 
   00114    0.4200  -12058.8917  0.3551 
   00115    0.4103  -12026.6551  0.3644 
   00116    0.4192  -12015.9656  0.3666 
   00117    0.4158  -12018.1853  0.3665 
   00118    0.4147  -11983.8890  0.3701 
   00119    0.4306  -12049.0974  0.3753 
   00120    0.4161  -12058.9288  0.3814 
   00121    0.4225  -12101.6126  0.3774 
   00122    0.4336  -12096.1665  0.3779 
   00123    0.4164  -12111.9155  0.3784 
   00124    0.4050  -12121.7641  0.3709 
   00125    0.4136  -12112.5271  0.3660 
   00126    0.4192  -12122.7543  0.3603 
   00127    0.4069  -12123.2651  0.3615 
   00128    0.4217  -12111.2087  0.3611 
   00129    0.4117  -12076.0328  0.3555 
   00130    0.4050  -12069.7964  0.3565 
   00131    0.4200  -12087.8734  0.3545 
   00132    0.4186  -12069.8071  0.3561 
   00133    0.4072  -12026.0796  0.3583 
   00134    0.4125  -12063.7720  0.3638 
   00135    0.4269  -12098.7070  0.3645 
   00136    0.4275  -12019.2087  0.3662 
   00137    0.4181  -12029.6046  0.3641 
   00138    0.4147  -12093.4186  0.3644 
   00139    0.4208  -12105.8428  0.3645 
   00140    0.4161  -12092.5358  0.3627 
   00141    0.4089  -12074.6889  0.3692 
