LebwohlLasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.537, Time: 15.852029 s
         3667856 function calls (3651549 primitive calls) in 16.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    301/1    0.003    0.000   16.569   16.569 {built-in method builtins.exec}
        1    0.000    0.000   16.569   16.569 LebwohlLasher.py:1(<module>)
        1    0.005    0.005   15.872   15.872 LebwohlLasher.py:283(main)
      500    3.795    0.008   15.549    0.031 LebwohlLasher.py:224(MC_step)
  2500000   11.753    0.000   11.753    0.000 LebwohlLasher.py:131(one_energy)
       33    0.002    0.000    0.921    0.028 __init__.py:1(<module>)
    352/4    0.002    0.000    0.707    0.177 <frozen importlib._bootstrap>:1349(_find_and_load)
    349/4    0.001    0.000    0.707    0.177 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    334/5    0.001    0.000    0.703    0.141 <frozen importlib._bootstrap>:911(_load_unlocked)
    286/5    0.001    0.000    0.703    0.141 <frozen importlib._bootstrap_external>:993(exec_module)
    825/9    0.001    0.000    0.703    0.078 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   417/11    0.000    0.000    0.655    0.060 {built-in method builtins.__import__}
   404/76    0.001    0.000    0.578    0.008 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.426    0.426 pyplot.py:1(<module>)
1101/1013    0.016    0.000    0.324    0.000 {built-in method builtins.__build_class__}
      106    0.003    0.000    0.228    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.225    0.002 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.214    0.214 figure.py:1(<module>)
      120    0.000    0.000    0.184    0.002 artist.py:1832(kwdoc)
        1    0.000    0.000    0.169    0.169 colorbar.py:1(<module>)
      120    0.004    0.000    0.157    0.001 artist.py:1593(pprint_setters)
      501    0.050    0.000    0.150    0.000 LebwohlLasher.py:202(get_order)
      501    0.087    0.000    0.149    0.000 LebwohlLasher.py:170(all_energy)
     4409    0.011    0.000    0.127    0.000 artist.py:1461(get_valid_values)
        1    0.000    0.000    0.112    0.112 contour.py:1(<module>)
        1    0.000    0.000    0.107    0.107 backend_bases.py:1(<module>)
     7554    0.054    0.000    0.100    0.000 inspect.py:882(cleandoc)
      347    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
